Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta
8.076,0.068,0.173,-2.515,-24.600,-64.815,0.008,0.021,0.023,68.665,
8.154,0.073,0.171,8.814,4.731,-63.975,0.066,-0.027,0.071,-22.315,
8.224,0.078,0.165,10.482,7.191,-64.186,0.072,-0.087,0.112,-50.335,
8.297,0.078,0.165,10.833,7.302,-64.211,0.006,-0.000,0.006,-4.862,
8.438,-0.185,0.128,-38.225,-2.657,19.402,-1.869,-0.264,1.887,8.032,
8.508,-0.196,0.114,-37.934,-1.299,23.488,-0.156,-0.199,0.253,51.778,
8.577,-0.196,0.114,-37.883,-1.409,23.400,0.000,0.010,0.010,88.041,
8.641,-0.199,0.112,-37.788,-1.586,23.534,-0.050,-0.041,0.064,39.696,
8.709,-0.200,0.111,-37.752,-1.619,23.573,-0.015,-0.013,0.020,41.232,
8.777,-0.200,0.112,-37.747,-1.687,23.516,0.000,0.012,0.012,87.815,
8.846,-0.199,0.113,-37.765,-1.744,23.456,0.006,0.012,0.013,62.648,
8.914,-0.201,0.112,-37.855,-1.669,23.505,-0.016,-0.003,0.016,10.346,
8.987,-0.200,0.114,-37.802,-1.751,23.470,0.000,0.019,0.019,88.807,
9.052,-0.202,0.114,-37.779,-1.695,23.608,-0.020,-0.001,0.020,2.971,
9.126,-0.203,0.112,-37.876,-1.586,23.764,-0.015,-0.022,0.026,55.552,
9.196,-0.203,0.112,-37.847,-1.659,23.766,-0.006,0.004,0.007,-31.073,
9.267,-0.204,0.112,-37.883,-1.648,23.809,-0.008,-0.006,0.010,34.591,
9.337,-0.205,0.112,-37.865,-1.785,23.769,-0.011,-0.003,0.011,17.344,
9.408,-0.205,0.111,-37.778,-1.946,23.719,-0.009,-0.006,0.011,31.707,
9.473,-0.211,0.108,-37.835,-2.216,23.734,-0.080,-0.043,0.091,28.005,
9.546,-0.223,0.103,-37.980,-2.669,23.899,-0.170,-0.074,0.185,23.566,
9.897,-0.363,-0.047,-38.985,-0.175,31.252,-0.400,-0.428,0.586,46.911,
9.970,-0.368,-0.060,-38.730,0.326,32.021,-0.056,-0.183,0.191,73.005,
10.042,-0.382,-0.078,-38.606,0.773,32.857,-0.198,-0.250,0.319,51.618,
10.117,-0.394,-0.064,7.820,6.533,30.604,-0.166,0.190,0.252,-48.870,
10.191,-0.377,-0.047,-39.451,-0.820,31.779,0.228,0.228,0.323,44.947,
10.408,-0.284,0.067,-38.532,-1.938,27.108,0.428,0.525,0.677,50.830,
10.488,-0.271,0.081,-38.516,-2.053,26.511,0.165,0.182,0.245,47.732,
10.561,-0.244,0.110,-38.003,-2.165,25.225,0.369,0.392,0.538,46.788,
10.634,-0.218,0.136,-37.964,-2.267,23.983,0.368,0.364,0.517,44.741,
10.717,-0.193,0.160,-37.454,-2.125,22.920,0.296,0.280,0.407,43.435,
10.805,-0.170,0.183,-37.363,-2.355,21.790,0.260,0.263,0.370,45.302,
10.879,-0.143,0.211,-37.236,-2.965,20.286,0.365,0.377,0.525,45.978,
10.950,-0.125,0.228,-37.253,-3.452,19.242,0.256,0.240,0.350,43.139,
11.022,-0.087,0.253,-37.716,-3.564,17.378,0.534,0.357,0.643,33.727,
11.092,-0.070,0.267,-36.824,-3.583,16.602,0.233,0.190,0.301,39.219,
11.161,-0.044,0.287,-36.574,-3.351,15.356,0.388,0.291,0.485,36.935,
11.235,-0.028,0.301,-36.668,-3.693,14.445,0.206,0.194,0.283,43.306,
