Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,3.824,0,1.200,0.173,-0.101,1.183,0.236,-0.064,-0.993,
1,3.898,0,1.170,0.181,-0.086,1.152,0.259,-0.130,-0.974,
2,3.972,0,1.180,0.180,-0.087,1.163,0.255,-0.131,-0.978,
3,4.049,0,1.174,0.178,-0.088,1.157,0.243,-0.126,-0.985,
4,4.118,0,1.168,0.179,-0.087,1.151,0.246,-0.128,-0.983,
5,4.189,0,1.170,0.181,-0.086,1.152,0.248,-0.134,-0.981,
6,4.258,0,1.167,0.182,-0.085,1.150,0.246,-0.136,-0.981,
7,4.326,0,1.166,0.184,-0.084,1.148,0.246,-0.141,-0.979,
8,4.394,0,1.165,0.184,-0.084,1.147,0.247,-0.141,-0.980,
9,4.461,0,1.164,0.185,-0.085,1.146,0.247,-0.142,-0.979,
10,4.528,0,1.168,0.187,-0.089,1.149,0.249,-0.145,-0.978,
11,4.596,0,1.168,0.189,-0.087,1.150,0.246,-0.152,-0.974,
12,4.664,0,1.170,0.187,-0.090,1.152,0.249,-0.149,-0.976,
13,4.732,0,1.166,0.186,-0.090,1.148,0.251,-0.149,-0.976,
14,4.802,0,1.161,0.188,-0.089,1.142,0.255,-0.154,-0.971,
15,4.869,0,1.160,0.188,-0.089,1.141,0.250,-0.152,-0.971,
16,4.943,0,1.158,0.186,-0.090,1.140,0.252,-0.149,-0.973,
17,5.012,0,1.155,0.184,-0.090,1.137,0.259,-0.151,-0.972,
18,5.084,0,1.156,0.186,-0.088,1.137,0.256,-0.153,-0.970,
19,5.157,0,1.157,0.187,-0.088,1.138,0.253,-0.150,-0.971,
20,5.229,0,1.155,0.187,-0.089,1.136,0.257,-0.152,-0.972,
21,5.297,0,1.156,0.189,-0.087,1.137,0.251,-0.155,-0.970,
22,5.362,0,1.153,0.189,-0.085,1.135,0.265,-0.161,-0.967,
23,5.431,0,1.148,0.190,-0.082,1.130,0.250,-0.156,-0.968,
24,5.495,0,1.149,0.190,-0.081,1.131,0.252,-0.158,-0.968,
25,5.558,0,1.149,0.193,-0.078,1.130,0.260,-0.167,-0.965,
26,5.624,0,1.150,0.192,-0.075,1.132,0.243,-0.162,-0.972,
27,5.696,0,1.150,0.189,-0.075,1.132,0.245,-0.160,-0.978,
28,5.769,0,1.150,0.187,-0.076,1.132,0.251,-0.160,-0.979,
29,5.838,0,1.151,0.189,-0.077,1.133,0.251,-0.162,-0.977,
30,5.907,0,1.153,0.189,-0.078,1.135,0.254,-0.162,-0.977,
31,5.980,0,1.151,0.189,-0.079,1.133,0.256,-0.164,-0.978,
32,6.046,0,1.157,0.186,-0.081,1.139,0.265,-0.170,-0.989,
33,6.122,0,1.199,0.171,-0.086,1.184,0.191,-0.180,-1.077,
34,6.200,0,1.229,0.141,-0.087,1.218,0.287,-0.199,-1.198,
35,6.358,0,1.240,0.070,-0.116,1.233,0.349,-0.115,-1.514,
36,6.440,0,1.214,0.049,-0.115,1.208,0.381,-0.049,-1.560,
37,6.658,0,1.640,0.022,-0.174,1.630,0.336,-0.043,0.026,
38,6.730,0,1.695,-0.001,-0.166,1.687,0.382,-0.039,0.015,
39,6.802,0,1.671,-0.022,-0.157,1.664,0.366,-0.031,-0.009,
40,6.873,0,1.703,-0.025,-0.178,1.693,0.276,-0.033,0.019,
41,6.949,0,1.634,-0.008,-0.188,1.623,0.352,-0.061,0.062,
42,7.019,0,1.654,-0.006,-0.190,1.643,0.290,-0.042,0.059,
43,7.096,0,1.679,-0.001,-0.190,1.668,0.276,-0.020,0.054,
44,7.179,0,1.683,0.001,-0.196,1.671,0.310,-0.048,0.060,
45,7.249,0,1.698,0.007,-0.202,1.686,0.287,-0.041,0.062,
46,7.316,0,1.699,0.006,-0.210,1.686,0.286,-0.053,0.069,
47,7.384,0,1.686,0.006,-0.215,1.673,0.301,-0.076,0.079,
48,7.448,0,1.685,0.007,-0.216,1.671,0.304,-0.075,0.077,
49,7.516,0,1.685,0.007,-0.215,1.671,0.302,-0.077,0.075,
50,7.590,0,1.684,0.007,-0.215,1.671,0.301,-0.079,0.073,
51,7.660,0,1.683,0.007,-0.214,1.670,0.304,-0.077,0.071,
52,7.730,0,1.684,0.007,-0.214,1.670,0.304,-0.078,0.071,
53,7.799,0,1.684,0.007,-0.213,1.670,0.304,-0.081,0.072,
54,7.871,0,1.683,0.007,-0.212,1.669,0.306,-0.078,0.071,
55,7.938,0,1.683,0.007,-0.212,1.669,0.303,-0.081,0.072,
56,8.008,0,1.684,0.007,-0.212,1.670,0.302,-0.081,0.071,
57,8.079,0,1.682,0.008,-0.211,1.669,0.303,-0.079,0.071,
